2025-06-19 20:46:14 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:14 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:14 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:14 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:14 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:14 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:14 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:14 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:14 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:15 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:15 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:15 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:15 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:15 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:15 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:15 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:15 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:15 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:15 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:15 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:15 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:15 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:15 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:15 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:15 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:15 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:15 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:15 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:15 >>> Controle administrativo/Login de usuário True
